"Name","Total Time","Total Time (CPU)","Hits"
"                                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                             org.hibernate.query.criteria.internal.compile.CriteriaQueryTypeQueryAdapter.getResultList ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                              org.hibernate.query.Query.getResultList ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                               org.hibernate.query.internal.AbstractProducedQuery.list ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                org.hibernate.query.internal.AbstractProducedQuery.doList ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                 org.hibernate.internal.SessionImpl.list ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                  org.hibernate.engine.query.spi.HQLQueryPlan.performList ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                   org.hibernate.hql.internal.ast.QueryTranslatorImpl.list ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                    org.hibernate.loader.hql.QueryLoader.list ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                     org.hibernate.loader.Loader.list ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                      org.hibernate.loader.Loader.listIgnoreQueryCache ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                       org.hibernate.loader.Loader.doList ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                        org.hibernate.loader.Loader.doList ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                         org.hibernate.loader.Loader.doQueryAndInitializeNonLazyCollections ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                          org.hibernate.loader.Loader.doQuery ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                           org.hibernate.loader.Loader.processResultSet ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                            org.hibernate.loader.Loader.getRowFromResultSet ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                             org.hibernate.loader.Loader.getRow ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                              org.hibernate.loader.Loader.instanceNotYetLoaded ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                               org.hibernate.loader.Loader.getInstanceClass ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                                org.hibernate.type.AbstractStandardBasicType.nullSafeGet ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                                 org.hibernate.type.AbstractStandardBasicType.nullSafeGet ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                                  org.hibernate.type.AbstractStandardBasicType.nullSafeGet ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                                   org.hibernate.type.descriptor.sql.VarcharTypeDescriptor.getExtractor ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                                    java.lang.ClassLoader.loadClass ()","99.9 ms (-0%)","99.9 ms (-0%)","1"
"                                                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-9","114,608 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-10","114,608 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-ClientPoller","114,608 ms (-0%)","95.8 ms (-0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","95.8 ms (-0%)","1"
"  org.apache.tomcat.util.net.NioEndpoint$Poller.run ()","114,608 ms (-0%)","95.8 ms (-0%)","1"
"   sun.nio.ch.SelectorImpl.select ()","114,512 ms (-0%)","0.0 ms (0%)","2"
"   java.util.HashMap$HashIterator.remove ()","95.8 ms (-0%)","95.8 ms (-0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-Acceptor","114,608 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.net.Acceptor.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   org.apache.tomcat.util.net.NioEndpoint.serverSocketAccept ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"    org.apache.tomcat.util.net.NioEndpoint.serverSocketAccept ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"     sun.nio.ch.ServerSocketChannelImpl.accept ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
