"Name","Total Time","Total Time (CPU)","Hits"
"                                                                             org.springframework.web.method.support.InvocableHandlerMethod.doInvoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                              java.lang.reflect.Method.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                               jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                jdk.internal.reflect.NativeMethodAccessorImpl.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                 jdk.internal.reflect.NativeMethodAccessorImpl.invoke0[native] ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                  com.app.bank.controller.Controller.listBanks ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                   com.app.bank.service.BankService.getBanks ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                    com.sun.proxy.$Proxy93.findAll ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                     org.springframework.aop.framework.JdkDynamicAopProxy.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                      org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                       org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                        org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                         org.springframework.data.jpa.repository.support.CrudMethodMetadataPostProcessor$CrudMethodMetadataPopulatingMethodInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                          org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                           org.springframework.dao.support.PersistenceExceptionTranslationInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                            org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                             org.springframework.transaction.interceptor.TransactionInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                              org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                               org.springframework.transaction.interceptor.TransactionInterceptor$$Lambda$970.0x0000000100066040.proceedWithInvocation ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                 org.springframework.data.projection.DefaultMethodInvokingMethodInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                  org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                   org.springframework.data.repository.core.support.RepositoryFactorySupport$QueryExecutorMethodInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                    org.springframework.data.repository.core.support.RepositoryFactorySupport$QueryExecutorMethodInterceptor.doInvoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                     org.springframework.aop.framework.ReflectiveMethodInvocation.proceed ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                      org.springframework.data.repository.core.support.RepositoryFactorySupport$ImplementationMethodExecutionInterceptor.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                       org.springframework.data.repository.core.support.RepositoryComposition.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                        org.springframework.data.repository.core.support.RepositoryComposition$RepositoryFragments.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                         java.lang.reflect.Method.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                          jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                           jdk.internal.reflect.GeneratedMethodAccessor118.invoke ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                            org.springframework.data.jpa.repository.support.SimpleJpaRepository.findAll ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                             org.springframework.data.jpa.repository.support.SimpleJpaRepository.getQuery ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                              org.springframework.data.jpa.repository.support.SimpleJpaRepository.getQuery ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                               org.springframework.data.jpa.repository.support.SimpleJpaRepository.applySpecificationToCriteria ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                                org.hibernate.query.criteria.internal.CriteriaQueryImpl.from ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                                 org.hibernate.query.criteria.internal.QueryStructure.from ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                                  org.hibernate.metamodel.internal.MetamodelImpl.entity ()","5.36 ms (-0%)","5.36 ms (-0%)","1"
"                                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
